account_id,customer_id,account_type,opening_date,balance,currency,status
ACC0134896,CUST045998,Fixed Deposit,2015-06-16,68282717,TZS,Inactive
ACC0033244,CUST007634,Current,2024-10-19,80000000,TZS,Active
ACC0104890,CUST003557,Current,2016-06-13,44610,TZS,Closed
ACC0144551,CUST074974,Current,2021-06-02,18478300,TZS,Active
ACC0098171,CUST093167,Current,2024-09-11,18237400,TZS,Active
ACC0005828,CUST067352,Current,2021-10-14,2989993,TZS,Inactive
ACC0001865,CUST083521,Savings,2012-01-31,14047100,TZS,Active
ACC0121655,CUST097621,Current,2015-06-07,19233500,TZS,Active
ACC0065578,CUST098531,Current,2017-11-16,80000000,TZS,Active
ACC0001120,CUST049329,Savings,2021-05-16,6372300,TZS,Active
ACC0071657,CUST035989,Savings,2023-03-23,30000000,TZS,Active
ACC0085192,CUST021927,Savings,2014-10-08,3161382,TZS,Inactive
ACC0148382,CUST031790,Savings,2015-08-07,49461,TZS,Closed
ACC0044670,CUST034861,Savings,2017-05-18,12614700,TZS,Active
ACC0002960,CUST047795,Fixed Deposit,2023-07-08,282791800,TZS,Active
ACC0141812,CUST062274,Current,2014-01-21,78248200,TZS,Active
ACC0068268,CUST057083,Current,2022-01-04,27023200,TZS,Active
ACC0086883,CUST011190,Savings,2013-06-14,7556600,TZS,Active
ACC0043547,CUST021177,Current,2018-09-09,19691400,TZS,Active
ACC0112839,CUST072898,Current,2017-05-22,16681400,TZS,Active
ACC0094086,CUST058342,Savings,2013-05-27,24579500,TZS,Active
ACC0062470,CUST087634,Savings,2023-02-03,17431400,TZS,Active
ACC0094617,CUST076117,Current,2018-11-25,14597900,TZS,Active
ACC0020263,CUST010657,Current,2016-05-30,29431800,TZS,Active
ACC0110674,CUST022836,Savings,2015-02-25,16400200,TZS,Active
ACC0147309,CUST030856,Current,2016-05-01,25853000,TZS,Active
ACC0069542,CUST050824,Savings,2023-03-12,22132600,TZS,Active
ACC0149846,CUST069892,Current,2015-11-16,80000000,TZS,Active
ACC0125383,CUST083632,Current,2026-01-06,43739000,TZS,Active
ACC0122742,CUST082860,Fixed Deposit,2011-11-25,383472300,TZS,Active
ACC0095477,CUST071484,Fixed Deposit,2020-01-06,46758196,TZS,Inactive
ACC0072919,CUST092604,Fixed Deposit,2022-02-05,252637000,TZS,Active
ACC0073309,CUST035531,Current,2021-02-28,38929700,TZS,Active
ACC0074632,CUST068830,Savings,2024-01-25,8870200,TZS,Active
ACC0114236,CUST096830,Current,2024-11-28,27582900,TZS,Active
ACC0113631,CUST090455,Savings,2016-08-16,30000000,TZS,Active
ACC0016115,CUST030463,Savings,2016-08-16,30000000,TZS,Active
ACC0012425,CUST034508,Savings,2026-04-11,8954600,TZS,Active
ACC0120698,CUST099156,Savings,2013-10-09,30000000,TZS,Active
ACC0147975,CUST055963,Savings,2016-08-19,11698500,TZS,Active
ACC0093236,CUST070685,Current,2016-06-19,11387100,TZS,Active
ACC0000279,CUST006496,Savings,2020-08-06,30000000,TZS,Active
ACC0149218,CUST041276,Savings,2015-03-06,15002300,TZS,Active
ACC0053510,CUST081144,Savings,2016-08-23,12518000,TZS,Active
ACC0015398,CUST023949,Savings,2011-08-05,20108300,TZS,Active
ACC0033999,CUST056567,Current,2011-09-15,23257,TZS,Closed
ACC0015767,CUST070849,Savings,2012-10-06,4785700,TZS,Active
ACC0084083,CUST049255,Savings,2024-03-28,21042300,TZS,Active
ACC0043295,CUST005179,Savings,2014-12-14,10230000,TZS,Active
ACC0004204,CUST013076,Savings,2023-02-10,6574700,TZS,Active
ACC0079720,CUST061297,Fixed Deposit,2012-04-22,500000000,TZS,Active
ACC0035209,CUST006996,Savings,2014-10-28,13209100,TZS,Active
ACC0104797,CUST001843,Savings,2024-05-23,6643300,TZS,Active
ACC0064245,CUST098354,Current,2019-12-09,36924000,TZS,Active
ACC0036841,CUST091734,Savings,2021-12-21,26290300,TZS,Active
ACC0088080,CUST069594,Current,2023-10-15,55233200,TZS,Active
ACC0025674,CUST064344,Current,2026-04-01,19234100,TZS,Active
ACC0005108,CUST095001,Current,2022-12-17,28443600,TZS,Active
ACC0132490,CUST071361,Current,2021-10-09,32814,TZS,Closed
ACC0125422,CUST034804,Current,2023-06-12,37949200,TZS,Active
ACC0117629,CUST036135,Current,2024-03-03,26127600,TZS,Active
ACC0097595,CUST051918,Savings,2015-07-16,24874200,TZS,Active
ACC0003634,CUST076043,Current,2013-11-20,14732000,TZS,Active
ACC0061829,CUST084306,Savings,2020-09-22,1893378,TZS,Inactive
ACC0013964,CUST096558,Current,2022-01-18,25995504,TZS,Inactive
ACC0054115,CUST042365,Current,2019-02-06,13217637,TZS,Inactive
ACC0143525,CUST077107,Fixed Deposit,2019-12-25,60974029,TZS,Inactive
ACC0008822,CUST037129,Fixed Deposit,2015-08-11,454115900,TZS,Active
ACC0032018,CUST081653,Savings,2025-03-07,15022700,TZS,Active
ACC0066546,CUST088877,Savings,2014-10-04,2384184,TZS,Inactive
ACC0060522,CUST063578,Current,2023-04-18,21823800,TZS,Active
ACC0050606,CUST087151,Fixed Deposit,2021-07-25,23642024,TZS,Inactive
ACC0088578,CUST000476,Current,2014-05-23,58414200,TZS,Active
ACC0037135,CUST026819,Fixed Deposit,2018-11-11,42133603,TZS,Inactive
ACC0040059,CUST028011,Current,2019-04-30,42140400,TZS,Active
ACC0137144,CUST087358,Current,2021-01-30,17479400,TZS,Active
ACC0068911,CUST038463,Savings,2012-08-17,5468400,TZS,Active
ACC0081054,CUST056513,Current,2017-07-04,19493100,TZS,Active
ACC0079684,CUST042634,Savings,2022-10-11,5153000,TZS,Active
ACC0093314,CUST044833,Current,2017-08-11,44251500,TZS,Active
ACC0147908,CUST085755,Savings,2012-01-27,19109,TZS,Closed
ACC0069232,CUST025000,Savings,2018-09-12,25785400,TZS,Active
ACC0127921,CUST071681,Current,2019-06-27,19109000,TZS,Active
ACC0109289,CUST070007,Fixed Deposit,2021-02-19,110569900,TZS,Active
ACC0108357,CUST025669,Current,2012-06-16,80000000,TZS,Active
ACC0103456,CUST035068,Current,2020-02-17,27459200,TZS,Active
ACC0092058,CUST089043,Current,2019-02-08,42512600,TZS,Active
ACC0129755,CUST020017,Current,2025-12-27,40550600,TZS,Active
ACC0075026,CUST039689,Savings,2013-04-03,28342500,TZS,Active
ACC0047818,CUST058832,Fixed Deposit,2014-03-01,467719800,TZS,Active
ACC0030720,CUST089448,Savings,2019-02-02,20368700,TZS,Active
ACC0108835,CUST021503,Savings,2017-07-09,21009100,TZS,Active
ACC0009548,CUST044659,Current,2017-06-29,13442700,TZS,Active
ACC0035205,CUST017742,Fixed Deposit,2019-09-22,114911200,TZS,Active
ACC0146388,CUST097246,Savings,2020-08-14,14045200,TZS,Active
ACC0042067,CUST077958,Savings,2021-08-18,29808300,TZS,Active
ACC0147509,CUST037284,Savings,2017-06-08,14884500,TZS,Active
ACC0034380,CUST035275,Savings,2024-01-29,30000000,TZS,Active
ACC0038342,CUST021007,Fixed Deposit,2024-07-05,454601300,TZS,Active
ACC0070894,CUST032460,Savings,2025-12-17,30000000,TZS,Active
ACC0083764,CUST060015,Savings,2011-08-14,20653700,TZS,Active
ACC0032975,CUST098389,Current,2017-03-30,16603200,TZS,Active
ACC0041828,CUST081712,Savings,2023-06-18,30000000,TZS,Active
ACC0126894,CUST099460,Current,2023-07-09,36476400,TZS,Active
ACC0062172,CUST054414,Fixed Deposit,2026-01-01,148889700,TZS,Active
ACC0017788,CUST019851,Current,2016-08-05,43532,TZS,Closed
ACC0126872,CUST007363,Savings,2011-10-25,10821900,TZS,Active
ACC0129023,CUST059045,Fixed Deposit,2021-06-06,376615400,TZS,Active
ACC0016592,CUST086302,Savings,2012-07-01,9418200,TZS,Active
ACC0097510,CUST080835,Current,2013-09-28,80000000,TZS,Active
ACC0031616,CUST044428,Savings,2015-07-14,15330800,TZS,Active
ACC0140309,CUST082150,Current,2015-02-22,80000000,TZS,Active
ACC0072745,CUST012487,Savings,2023-06-01,5476400,TZS,Active
ACC0065107,CUST026423,Current,2014-06-03,26501600,TZS,Active
ACC0106219,CUST069365,Savings,2021-11-16,20457300,TZS,Active
ACC0082613,CUST006017,Current,2025-08-22,22414500,TZS,Active
ACC0138951,CUST050844,Current,2014-11-19,42751000,TZS,Active
ACC0128832,CUST037926,Savings,2011-09-23,15834600,TZS,Active
ACC0032301,CUST022966,Fixed Deposit,2023-08-21,285894300,TZS,Active
ACC0056246,CUST061455,Savings,2023-07-15,48072,TZS,Closed
ACC0111477,CUST062943,Savings,2018-11-11,8291300,TZS,Active
ACC0089568,CUST068181,Savings,2014-03-21,26673000,TZS,Active
ACC0005937,CUST015889,Current,2020-01-11,40824400,TZS,Active
ACC0140515,CUST083353,Savings,2016-10-10,15438300,TZS,Active
ACC0037834,CUST072975,Savings,2016-08-10,21141200,TZS,Active
ACC0032540,CUST064164,Current,2020-06-28,8009,TZS,Closed
ACC0128301,CUST085012,Current,2017-02-21,31039000,TZS,Active
ACC0040098,CUST094393,Fixed Deposit,2020-03-20,139776300,TZS,Active
ACC0037802,CUST074818,Savings,2013-04-12,26206900,TZS,Active
ACC0006908,CUST003510,Current,2021-05-14,19398100,TZS,Active
ACC0032325,CUST062384,Fixed Deposit,2023-08-27,30475,TZS,Closed
ACC0091027,CUST069525,Savings,2020-05-15,12985800,TZS,Active
ACC0046855,CUST002311,Savings,2020-04-22,16156000,TZS,Active
ACC0033592,CUST056929,Savings,2017-06-05,30000000,TZS,Active
ACC0072226,CUST049938,Current,2013-04-24,19798900,TZS,Active
ACC0136368,CUST039197,Fixed Deposit,2021-02-19,182120600,TZS,Active
ACC0027003,CUST030740,Current,2024-07-29,32294500,TZS,Active
ACC0021215,CUST093409,Current,2017-07-02,18326400,TZS,Active
ACC0010486,CUST030595,Savings,2025-11-08,13716600,TZS,Active
ACC0026971,CUST087257,Savings,2014-01-10,18539700,TZS,Active
ACC0064644,CUST055760,Savings,2015-07-30,25040100,TZS,Active
ACC0051703,CUST091764,Savings,2018-04-09,30000000,TZS,Active
ACC0138569,CUST025097,Savings,2017-05-08,11212800,TZS,Active
ACC0057937,CUST030850,Current,2016-06-17,15551600,TZS,Active
ACC0028867,CUST087758,Savings,2017-06-09,9285100,TZS,Active
ACC0043979,CUST007674,Savings,2013-11-27,5796400,TZS,Active
ACC0130790,CUST039740,Current,2017-12-19,43861100,TZS,Active
ACC0121606,CUST070444,Savings,2023-04-25,16543700,TZS,Active
ACC0017687,CUST059908,Savings,2023-04-22,25324200,TZS,Active
ACC0031246,CUST059563,Current,2023-06-25,47411200,TZS,Active
ACC0078189,CUST026923,Current,2013-12-29,36454500,TZS,Active
ACC0119106,CUST092944,Savings,2020-11-23,16173900,TZS,Active
ACC0108249,CUST054537,Current,2014-12-01,38150300,TZS,Active
ACC0012919,CUST009151,Savings,2018-11-17,47638,TZS,Closed
ACC0061817,CUST036219,Savings,2012-09-20,30000000,TZS,Active
ACC0139173,CUST013343,Current,2014-04-04,80000000,TZS,Active
ACC0141614,CUST067999,Fixed Deposit,2019-11-26,121059500,TZS,Active
ACC0094204,CUST073365,Savings,2020-08-03,19119100,TZS,Active
ACC0103839,CUST087395,Fixed Deposit,2019-03-28,490489100,TZS,Active
ACC0042711,CUST002742,Fixed Deposit,2019-02-09,145042300,TZS,Active
ACC0144445,CUST052696,Current,2019-05-06,65183200,TZS,Active
ACC0043453,CUST084983,Savings,2022-04-20,19368100,TZS,Active
ACC0031532,CUST042732,Current,2026-02-13,38994100,TZS,Active
ACC0143391,CUST001031,Savings,2012-12-05,10747088,TZS,Inactive
ACC0065646,CUST088987,Savings,2021-07-13,5163400,TZS,Active
ACC0057235,CUST086726,Fixed Deposit,2017-07-18,500000000,TZS,Active
ACC0030409,CUST021760,Savings,2016-01-10,6374200,TZS,Active
ACC0055503,CUST065846,Current,2023-05-03,52073700,TZS,Active
ACC0047095,CUST068095,Fixed Deposit,2013-11-21,500000000,TZS,Active
ACC0060326,CUST067690,Current,2024-03-07,46809000,TZS,Active
ACC0131153,CUST025671,Savings,2025-02-25,22349,TZS,Closed
ACC0004334,CUST089375,Current,2025-07-07,27253100,TZS,Active
ACC0132975,CUST022927,Fixed Deposit,2022-09-17,144391600,TZS,Active
ACC0081119,CUST063967,Savings,2018-09-25,7700000,TZS,Active
ACC0105034,CUST049454,Current,2023-08-31,21816000,TZS,Active
ACC0022620,CUST097192,Savings,2024-12-23,21585200,TZS,Active
ACC0102002,CUST060989,Fixed Deposit,2018-05-08,397667800,TZS,Active
ACC0035353,CUST084959,Current,2014-12-18,29339000,TZS,Active
ACC0020479,CUST040108,Current,2012-07-16,32332400,TZS,Active
ACC0071663,CUST075637,Savings,2011-10-07,15688700,TZS,Active
ACC0090300,CUST024829,Current,2019-07-11,76330500,TZS,Active
ACC0146961,CUST094867,Savings,2024-12-26,5146100,TZS,Active
ACC0035110,CUST067669,Current,2013-04-10,80000000,TZS,Active
ACC0108303,CUST092098,Savings,2019-03-15,12765300,TZS,Active
ACC0084889,CUST099566,Savings,2021-11-22,13222300,TZS,Active
ACC0137732,CUST050864,Fixed Deposit,2019-09-23,177650300,TZS,Active
ACC0033710,CUST080036,Current,2012-11-03,21146800,TZS,Active
ACC0004701,CUST088832,Savings,2015-07-12,11302800,TZS,Active
ACC0048072,CUST017148,Savings,2016-06-01,7312300,TZS,Active
ACC0057893,CUST037624,Savings,2014-08-24,27811800,TZS,Active
ACC0034204,CUST003351,Current,2026-04-01,17238,TZS,Closed
ACC0023263,CUST051403,Savings,2011-12-23,13138900,TZS,Active
ACC0037847,CUST019453,Current,2013-03-27,14912100,TZS,Active
ACC0039913,CUST007159,Savings,2020-01-30,11509900,TZS,Active
ACC0026893,CUST094826,Current,2012-01-29,24884000,TZS,Active
ACC0093578,CUST042054,Savings,2025-11-21,1776991,TZS,Inactive
ACC0022421,CUST061619,Fixed Deposit,2018-04-04,500000000,TZS,Active
ACC0092617,CUST035088,Savings,2016-07-21,4190800,TZS,Active
